ticker	chokepoint_score	chokepoint_tier	score	verdict	price	target	upside	moat	catalyst	risk_level	chips_status	chips_detail	one_liner
011790.KS	15	Oligopoly with Moat	48	AVOID	96100	75000	-22%	Weak	Absolics glass substrate mass production + NVIDIA/AMD design wins	Very High	AWARDED	$75M CHIPS Act + $100M R&D grants for Absolics Covington GA facility	First glass substrate producer for AI packaging; genuinely novel but toxic parent (negative GM, 185% D/E, W734B loss). Wait for Absolics spinoff.
CAMT	14	Oligopoly with Moat	60	HOLD	175	N/A	N/A	Moderate-Strong	HBM4 Hawk ramp + CoWoS expansion + double-digit 2026 growth	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Niche AP inspection leader; 50% HPC concentration, Hawk/Eagle G5 reference tools for HBM4. Adjacent to SiPh (not direct). 51% GM, 40x fwd P/E -- priced in.
6754.T	15	Oligopoly with Moat	58	HOLD	3398	3100	-9%	Moderate-Strong	1.6T production test ramp + 60 GHz MP2110A + inventory normalization	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	De facto production test standard for optical transceivers (MP2110A BERTWave). 49% GM, ¥46.5B net cash. But optical is only ~25% of rev; 41x P/E on 2.7% growth is stretched.
TEL	15	Oligopoly with Moat	66	HOLD	229.78	270	+17%	Strong	DDN +70% YoY + record $5.1B orders + CPO/RAM Photonics + Q2 Apr 22	Low	NONE	No direct or CHIPS-linked award found in latest official sweep	#2 connector company behind Amphenol; DDN +70% AI growth but auto/industrial ~60% dilutes AI thesis. 18.6x fwd P/E fair. Not a photonics chokepoint.
ADTN	8	Competitive / Linked	48	AVOID	15.09	14.67	-3%	Weak	800G coherent upgrade cycle + revenue recovery to $1.2B	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Subscale 4th-tier optical vendor; 38% GM, still unprofitable post-ADVA merger. No AI hyperscaler exposure. Not a chokepoint.
2308.TW	7	Competitive / Linked	42	AVOID	1735	1700	-2%	Weak	AI power/cooling demand + AGEMA 1.6T switch	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	AI power/cooling giant with tiny optical sidecar; AGEMA switches real but <2% of rev. Not a photonics chokepoint.
2345.TW	14	Oligopoly with Moat	62	HOLD	1835	2100	+14%	Moderate-Strong	102.4T first-mover + 800G/1.6T upgrade cycle + Meta ODM	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	Leading white box switch ODM for AI data centers; 125% FY25 growth, 22x fwd P/E. Demand multiplier for optical transceivers, not a chokepoint itself.
688498.SS	20	Duopoly Chokepoint	72	HOLD	1225	900	-27%	Strong	HK IPO + 800G/1.6T CW DFB ramp + 200G EML mass production	Very High	NONE	No direct or CHIPS-linked award found in latest official sweep	China's laser chip chokepoint for AI transceivers; #2 global SiPh laser supplier, 719% DC growth, but 175x P/S is extreme. Wait for HK IPO or pullback.
688048.SS	14	Oligopoly with Moat	52	WATCH	239.39	120	-50%	Moderate	CW DFB for SiPh 800G/1.6T + VCSEL 200G/400G + export control tailwind	Very High	NONE	No direct or CHIPS-linked award found in latest official sweep	China's VCSEL/CW DFB laser chip leader; 74% VCSEL efficiency record, but loss-making at 90x P/S. Strategic optionality, not investable yet.
300620.SZ	16	Duopoly Chokepoint	68	HOLD	232.88	180	-23%	Strong	TFLN modulator adoption for post-1.6T + 83% rev growth + energy efficiency mandate	Very High	NONE	No direct or CHIPS-linked award found in latest official sweep	TFLN modulator pioneer; 10x energy efficiency vs electrical modulators. 83% growth but 333x P/E prices in 2028+ platform shift. Deep-tech option.
688313.SS	15	Oligopoly with Moat	62	HOLD	106.00	75	-29%	Moderate	AWG chips for DR8/1.6T DWDM + MPO connectors + domestic supply chain preference	Very High	NONE	No direct or CHIPS-linked award found in latest official sweep	China's AWG chip leader for DR8/1.6T mux; only passive+active IDM. 17% GM is thin but +617% run prices in perfect AWG scaling.
MYCR.ST	15	Oligopoly with Moat	58	HOLD	238	220	-8%	Moderate	SiPh mask writer demand + MRSI photonic die bonders for CPO ramp	Low	NONE	No direct or CHIPS-linked award found	Dual photonics angle (laser mask writers + MRSI die bonders) but niche; 53% GM is strong, SEK 46B mkt cap is fairly valued for 12% growth
ATS.VI	14	Oligopoly with Moat	42	AVOID	66.60	55	-17%	Weak	EU Chips Act EUR 500M subsidy + glass substrate R&D for photonics	Medium	EU CHIPS	EUR 500M EU Chips Joint Undertaking for Leoben IC substrate expansion	#3 IC substrate behind Unimicron/Ibiden; 9.5% gross margin = no pricing power; glass substrate photonics work is early R&D, not a chokepoint
300570.SZ	11	Oligopoly with Moat	48	AVOID	127.15	80	-37%	Weak	800G/1.6T MPO connector volume ramp for Microsoft/Amazon	High	NONE	No direct or CHIPS-linked award found	30%+ MPO share but 5+ competitors (US Conec, Senko, Amphenol); standardized connector = low switching costs; 96x P/E on CNY 1.55B rev is extreme
688167.SS	14	Oligopoly with Moat	58	AVOID	388.30	180	-54%	Moderate-Strong	Chinese domestic CPO WLO qualification + OCS micro-optics + return to profitability	Very High	NONE	No direct or CHIPS-linked award found	China's WLO platform via SUSS MicroOptics + Heptagon acquisitions; real CPO micro-optics tech but 40x P/S, loss-making, no confirmed CPO customer
LWLG	8	Competitive / Linked	32	AVOID	10.60	N/A	N/A	Speculative	Dual foundry PDK integration (Tower+GF) + 4 Stage-3 programs + CPO optionality	Very High	NONE	No direct or CHIPS-linked award found in latest official sweep	EO polymer modulator pure-play; dual foundry PDK integration is real validation but $1.6B on $237K revenue is a science project priced as a franchise. 5 insiders selling.
2802.T	22	Monopoly Chokepoint	58	HOLD	4652	N/A	N/A	Strong	Palliser 30% ABF price hike + standalone disclosure + AI substrate demand	Medium	NONE	No direct or CHIPS-linked award found in latest official sweep	95% ABF insulation monopoly (semiconductor packaging) but 2% of Y1.5T food conglomerate rev. Palliser activist catalyst. NOT a photonics chokepoint.
ROG	10	Competitive / Linked	38	AVOID	117.96	N/A	N/A	Weak	Data center design wins (early stage) + ADAS growth	Low	NONE	No direct or CHIPS-linked award found	High-freq PCB laminates for RF/ADAS/wireless, NOT optical transceivers; 31.7% gross margin, declining revenue, multiple competitors. Not a photonics chokepoint.
6834.T	18	Duopoly Chokepoint	68	HOLD	29370	22000	-25%	Strong	AI fabric densification 20-40x connectors/rack + 800G/1.6T ramp	High	NONE	No direct or CHIPS-linked award found	World #1 ceramic ferrule + polishing equipment for fiber connectors; razor/blade model with 35% growth, but 71x P/E after 10x rally prices in years of growth
688027.SS	5	Commodity	28	AVOID	550.72	N/A	N/A	N/A (QKD only)	QKD market growth + China quantum national program	Very High	NONE	No direct or CHIPS-linked award found	World's largest QKD company; photonic components (APDs, PPLN) are quantum-only with zero AI data center overlap. 182x P/S on CNY 310M rev. Not an AI photonics chokepoint.
AEVA	8	Competitive / Linked	42	AVOID	13.35	N/A	N/A	Emerging	SOA for CPO announced Jan 2026 + InP fab	Very High	NONE	No direct or CHIPS-linked award found	InP LiDAR co pivoting to DC SOA; real tech but $18M rev, -$115M burn, zero DC design wins. Revisit on first SOA qualification.
